Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
														
R9GZ605	qstcloud	QST-WL-0069	Microsoft Windows 7 Enterprise x64	340	9/30/2016 14:13	LENOVO	4243VKK	AD\qstcloud	10/21/2011 0:00	10/20/2015 0:00	cbarrett	Loaner		340
R9Z52D1	qstcloud	QST-WL-0064	Microsoft Windows 7 Enterprise x64	340	10/1/2016 10:26	LENOVO	2355BE3	AD\qstcloud	6/9/2013 0:00	6/8/2017 0:00	cbarrett	Loaner		340
MJ45F5Y	user	SMG675	Microsoft Windows 7 Enterprise x64		7/29/2016 13:36	LENOVO	3212BJ7	SMG675\user	8/1/2013 0:00	7/21/2017 0:00	joglekar	Primary		
2UA8291Q1R	jkimjr	SMG643-1	Microsoft Windows 7 Professional		9/11/2016 18:08	Hewlett-Packard	HP xw4600 Workstation	SMG643-1\istds-admin	7/23/2008 0:00	8/26/2013 0:00	jkimjr	Primary		
MJWZXE3	mdmeng	SMG143BSRB01	Microsoft Windows 7 Enterprise x64	143 Bay State - Basement	10/1/2016 19:03	LENOVO	4524A61	AD\mdmeng	6/16/2011 0:00	6/15/2015 0:00	tturrisi	Primary		143 Bay State - Basement
9SZZQF1	dmolt	SMG515B	Microsoft Windows 7 Enterprise x64		8/29/2016 9:50	Dell Inc.	OptiPlex 755	AD\dmolt	2/27/2009 0:00	2/27/2013 0:00	dicocco	Shared		
MJ45F6A	kjhatten	SMG621-1	Microsoft Windows 7 Enterprise x64		10/1/2016 18:24	LENOVO	3212BJ7	AD\kjhatten	8/1/2013 0:00	7/21/2017 0:00	kjhatten	Primary		
MJ762BD	lbonney	QST-WD-0052	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:13	LENOVO	36901K3	AD\vsung	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJAPNNA	qstblab	QST-BSR-WD-0003	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	10/1/2016 19:16	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJDCPGT	oslavin	QST-WD-0360	Microsoft Windows 7 Professional x64		9/30/2016 14:40	LENOVO	4524WED	AD\oslavin	11/7/2011 0:00	10/27/2015 0:00	dwebb	Primary		
MJAPNMG	qstblab	QST-BSR-WD-0007	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	10/1/2016 19:17	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJAPNMV	qstblab	QST-BSR-WD-0001	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	10/1/2016 19:58	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJAPNMX	qstblab	QST-BSR-WD-0008	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	10/1/2016 18:57	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJWZXD7	robertsm	SMG527	Microsoft Windows 7 Professional x64		8/25/2015 12:53	LENOVO	4524A61	AD\robertsm	6/16/2011 0:00	6/15/2015 0:00	robertsm	Primary		
MJAPNMZ	qstblab	QST-BSR-WD-0013	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	10/1/2016 19:42	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJAPNMW	qstblab	QST-BSR-WD-0011	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	10/1/2016 19:53	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
2UA10704RP	peggyw	SMG629-5	Microsoft Windows 7 Professional x64		10/1/2016 18:27	Hewlett-Packard	HP Z200 Workstation	AD\peggyw	2/15/2011 0:00	2/14/2016 0:00	peggyw	Primary		
MJ27L23	seaholm	SMG630E-1	Microsoft Windows 7 Professional x64		5/13/2016 1:14	LENOVO	36901K3	AD\seaholm	6/18/2013 0:00	6/7/2017 0:00	seaholm	Primary		
MJ762CW	dnebbia	QST-WD-0045	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:19	LENOVO	36901K3	AD\cindyim	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ46M22	qstla	QST-WD-0037	Microsoft Windows 7 Professional x64	333	10/1/2016 18:22	LENOVO	36901K3	AD\qstla	6/21/2013 0:00	6/10/2017 0:00	gdefronz	shared		333
MJYVGC1	istds-admin	SMG543-5	Microsoft Windows 7 Professional x64		7/29/2015 9:23	LENOVO	4524A61	SMG543-5\istds-admin	6/30/2011 0:00	6/29/2015 0:00	kgriner	Primary		
2UA8291Q31	lveidenh	SMG644A-1	Microsoft Windows 7 Professional		9/15/2016 9:59	Hewlett-Packard	HP xw4600 Workstation	AD\lveidenh	7/23/2008 0:00	8/26/2013 0:00	earlride	Primary		
MJ46M23	qstla	QST-WD-0038	Microsoft Windows 7 Professional x64	333	10/1/2016 19:21	LENOVO	36901K3	AD\qstla	6/21/2013 0:00	6/10/2017 0:00	gdefronz	shared		333
MJ761ZG	maehood	QST-WD-0059	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:46	LENOVO	36901K3	AD\dgenkin	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ762AX	jacobom	QST-WD-0057	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:45	LENOVO	36901K3	AD\ttchz	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA8291Q1F	davweil	SMG520A-1	Microsoft Windows 7 Enterprise x64		8/31/2015 9:37	Hewlett-Packard	HP xw4600 Workstation	AD\davweil	7/23/2008 0:00	8/26/2013 0:00	davweil	Primary		
MJAPNMN	qstblab	QST-BSR-WD-0015	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	10/1/2016 19:27	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJZRBCW	camphil	SMG504A-2	Microsoft Windows 7 Enterprise x64		10/1/2016 18:00	LENOVO	3212BJ7	AD\camphil	1/21/2013 0:00	1/11/2017 0:00	camphil	Primary	This desktop was moved from room 502D (SMG502D)	
MJ761ZV	Ali1	QST-WD-0341	Microsoft Windows 10 Enterprise x64	342	10/1/2016 19:11	LENOVO	36901K3	AD\Ali1	5/26/2013 0:00	5/15/2017 0:00	ali1	Primary		342
MJRALKD	akarpovs	SMG548E-1	Microsoft Windows 7 Enterprise x64		10/1/2016 18:35	LENOVO	4223CTO	AD\akarpovs	11/30/-001 00:00:00	11/30/-001 00:00:00	anamini	Primary		
MJ762AK	sbrankov	QST-WD-0009	Microsoft Windows 7 Professional x64	636A	7/17/2015 8:57	LENOVO	36901K3	AD\sbrankov	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA0300PQY	mlynd	QST-WD-0313	Microsoft Windows 7 Enterprise x64	630 D	12/21/2015 7:36	Hewlett-Packard	HP Z600 Workstation	AD\mlynd	7/29/2010 0:00	7/28/2015 0:00	gdefronz	Shared		630 D
MJ761XV	mattreis	QST-WD-0310	Microsoft Windows 7 Enterprise x64	328	10/1/2016 19:53	LENOVO	36901K3	AD\mattreis	5/25/2013 0:00	5/14/2017 0:00	gdefronz	Computer Lab		328
2UA8291Q2P	smgarws	QST-WD-0234	Microsoft Windows 7 Professional	504	10/1/2016 18:37	Hewlett-Packard	HP xw4600 Workstation	AD\smgdnows	7/23/2008 0:00	8/26/2013 0:00	mbda	Shared		504
MJ761ZH	kmatth	QST-WD-0054	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:37	LENOVO	36901K3	AD\jaeda	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ99T9T	qstblab	QST-BSR-WD-0014	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	10/1/2016 19:48	LENOVO	2756B53	AD\qstblab	9/1/2013 0:00	8/21/2017 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJ761ZW	nahar93	QST-WD-0046	Microsoft Windows 7 Professional x64	636 A	12/18/2015 6:37	LENOVO	36901K3	AD\htran93	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636 A
C02KMGBTDNCR	istds-admin	qst-md-0100	Mac OS X 10.11.5 (x86_64)	342	9/14/2016 17:27	"Apple, Inc."	"iMac13,1"		6/14/2013 0:00	6/13/2016 0:00	tturrisi	Primary		342
MJBBTPP	smgelcws	SMG416E-1	Microsoft Windows 7 Professional x64	416 E	6/18/2015 9:06	LENOVO	4524A61	AD\smgelcws	8/25/2011 0:00	8/24/2015 0:00	dwebb	Shared		416 E
MJZRBCV	gdefronz	SMG636A-1	Microsoft Windows 7 Enterprise x64		4/14/2016 2:19	LENOVO	3212BJ7	AD\gdefronz	1/21/2013 0:00	1/11/2017 0:00	gdefronz	Primary		
MJ762AM	monaz	QST-WD-0333	Microsoft Windows 7 Enterprise x64	636A	10/1/2016 18:26	LENOVO	36901K3	AD\monaz	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA0461C0S	smgelcws	SMG416S-2	Microsoft Windows 7 Professional	342	6/5/2015 9:38	Hewlett-Packard	HP Z200 Workstation	AD\smgelcws	11/22/2010 0:00	1/20/2016 0:00	dwebb	Reserve		342
2UA8300Z24	sechrest	QST-WD-0241	Microsoft Windows 7 Professional	343 A	7/24/2015 1:12	Hewlett-Packard	HP xw4600 Workstation	AD\sechrest	7/27/2008 0:00	8/2/2014 0:00	nelee	Shared		343 A
MJ761YG	jkissh	QST-WD-0346	Microsoft Windows 10 Enterprise x64	629	10/1/2016 18:20	LENOVO	36901K3	AD\jkissh	5/26/2013 0:00	5/15/2017 0:00	jkissh	Secondary		629
MJ762BY	kbdoran	QST-WD-0062	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:20	LENOVO	36901K3	AD\rbazaz	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ3849F	istds-admin	SMG607	Microsoft Windows 7 Enterprise x64		5/9/2016 12:17	LENOVO	3212BJ7	SMG607\istds-admin	2/16/2013 0:00	2/6/2017 0:00	pekoz	Primary		
MJXAAR9	jhorwitt	53BSR107	Microsoft Windows 7 Professional x64	107	9/30/2016 18:08	LENOVO	4524A61	AD\jhorwitt	6/16/2011 0:00	6/15/2015 0:00	jhorwitt	Primary		107
MJ761ZZ	quangle	QST-WD-0061	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:46	LENOVO	36901K3	AD\quangle	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJAPNMM	qstblab	QST-BSR-WD-0016	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	10/1/2016 19:41	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJ761YE	hhchiang	QST-WD-0255	Microsoft Windows 10 Enterprise x64	541	8/18/2016 9:13	LENOVO	36901K3	AD\hhchiang	5/26/2013 0:00	5/15/2017 0:00	camphil	Shared		541
2UA0390VFN	rprieto	SMG566	Microsoft Windows 7 Professional x64		10/1/2016 18:59	Hewlett-Packard	HP Z200 Workstation	AD\rprieto	10/1/2014 0:00	9/30/2013 0:00	rprieto	Primary		
MJ02KCN	cbarrett	SMG333A-1	Microsoft Windows 7 Professional x64		10/1/2016 19:22	LENOVO	36901K3	AD\cbarrett	11/10/2013 0:00	10/30/2017 0:00	cbarrett	Primary		
2UA8500SXZ	firefox-adm	PC-TEST-1	Microsoft Windows 7 Professional x64		7/19/2016 12:42	Hewlett-Packard	HP xw4600 Workstation	QAD\firefox-adm	12/12/2008 0:00	1/5/2014 0:00	firefox	Secondary		
MJAPNMR	qstblab	QST-BSR-WD-0010	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	10/1/2016 19:31	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJ49E1V	salinger	QST-WD-0305	Microsoft Windows 7 Enterprise x64		10/1/2016 19:27	LENOVO	3212BJ7	AD\salinger	8/3/2013 0:00	7/23/2017 0:00	salinger	Primary		
MJ762CP	burgener	QST-WD-0056	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:36	LENOVO	36901K3	AD\dkoswick	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ762BE	rbaird8	QST-WD-0363	Microsoft Windows 10 Enterprise x64	504	7/7/2016 15:26	LENOVO	36901K3	AD\rbaird8	5/26/2013 0:00	5/15/2017 0:00	rbaird8	Primary		504
MJ08Z97	ali1	QST-WD-0219	Microsoft Windows 7 Enterprise x64	342	3/22/2016 9:03	LENOVO	3212BJ7	AD\ali1	6/9/2013 0:00	5/29/2017 0:00	gdefronz	Reserve		342
MJ762CK	dlbedard	QST-WD-0306	Microsoft Windows 7 Enterprise x64	543	10/1/2016 19:51	LENOVO	36901K3	AD\dlbedard	5/26/2013 0:00	5/15/2017 0:00	camphil	Shared		543
MJ761ZN	mdc	QST-WD-0025	Microsoft Windows 7 Professional x64	636A	7/20/2015 11:34	LENOVO	36901K3	AD\mdc	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
