Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
														
R9GZ605	emilyfl	QST-WL-0069	Microsoft Windows 7 Enterprise x64	340	3/9/2016 13:26	LENOVO	4243VKK	AD\emilyfl	10/21/2011 0:00	10/20/2015 0:00	cbarrett	Loaner		340
R9Z52D1	qstcloud	QST-WL-0064	Microsoft Windows 7 Enterprise x64	340	2/18/2016 11:17	LENOVO	2355BE3	AD\qstcloud	6/9/2013 0:00	6/8/2017 0:00	cbarrett	Loaner		340
MJ45F5Y	joglekar	SMG675	Microsoft Windows 7 Enterprise x64		5/28/2016 19:09	LENOVO	3212BJ7	AD\joglekar	8/1/2013 0:00	7/21/2017 0:00	joglekar	Primary		
2UA8291Q1R	jkimjr	SMG643-1	Microsoft Windows 7 Professional		5/28/2016 19:27	Hewlett-Packard	HP xw4600 Workstation	SMG643-1\istds-admin	7/23/2008 0:00	8/26/2013 0:00	jkimjr	Primary		
MJWZXE3	ozgun	SMG143BSRB01	Microsoft Windows 7 Enterprise x64	143 Bay State - Basement	5/28/2016 19:35	LENOVO	4524A61	AD\ozgun	6/16/2011 0:00	6/15/2015 0:00	tturrisi	Primary		143 Bay State - Basement
MJPBXNB	ytlee	SMG660-4	Microsoft Windows 7 Enterprise x64		4/29/2016 1:41	LENOVO	4524AY5	AD\ytlee	7/5/2012 0:00	6/25/2016 0:00	ytlee	Primary		
9SZZQF1	slin619	SMG515B	Microsoft Windows 7 Enterprise x64		4/15/2016 1:34	Dell Inc.	OptiPlex 755	AD\slin619	2/27/2009 0:00	2/27/2013 0:00	dicocco	Shared		
MJ45F6A	kjhatten	SMG621-1	Microsoft Windows 7 Enterprise x64		5/28/2016 19:01	LENOVO	3212BJ7	AD\kjhatten	8/1/2013 0:00	7/21/2017 0:00	kjhatten	Primary		
MJ762BD	lbonney	QST-WD-0052	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:13	LENOVO	36901K3	AD\vsung	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
